id,body,parent_id
1,What is the title?,
2,Study of Magrolimab Combination Therapy in Patients With Non-Surgically Removable Locally Advanced or Metastatic Triple-Negative Breast Cancer (ELEVATE TNBC),1
3,Who is responsible for ensuring the safety and scientific validity of a study?,
4,Does listing a study imply that it has been evaluated by the U.S. Federal Government?,
5,"The safety and scientific validity of this study is the responsibility of the study sponsor and investigators. Listing a study does not mean it has been evaluated by the U.S.
 Federal Government. Know the risks and potential benefits of clinical studies and talk to your health care provider before participating. Read our disclaimer for details.",3
6,What is the ClinicalTrials.gov Identifier for the study mentioned in the text?,
7,The ClinicalTrials.gov Identifier for the study is NCT04958785,6
8,Is the study currently recruiting participants?,
9,Yes the Recruitment Status is Recruiting,8
10,When was the study first posted on ClinicalTrials.gov?,
11,The study was first posted on 7/12/2021,10
12,When was the last update posted for the study?,
13,"The study was last updated on April 6, 2023",12
14,How can interested individuals contact the Gilead Clinical Study Information Center for more information about the study?,
15,For More information you can also refer to : https://clinicaltrials.gov/ct2/show/NCT04958785?term=NCT04958785&rank=1,14
16,Who is the sponsor ?,
17,Gilead Sciences is the sponsor,16
18,Who is the responsible party?,
19,Gilead Sciences is the responsible party,18
20,"Individual Participant Data (IPD) Sharing Statement, Plan to Share IPD:",
21,No,20
22,Studies a U.S. FDA-regulated Drug Product?,
23,Yes it studies a U.S. FDA-regulated Drug Product,22
24,Studies a U.S. FDA-regulated Device Product?,
25,"Yes, it studies a U.S. FDA-regulated Device Product",24
26,Who are the investigators?,
27,"The investigators are the Study Director, Gilead Study Director, Gilead Sciences.",26
28,clinical studies and the importance of making an informed decision about participating in them.,
29,"Choosing to participate in a study is an important personal decision. Talk with your doctor and family members or friends about deciding to join a study. To learn more about this study, you or your doctor may contact the study research staff using the contacts provided 1-833-445-3230 ; Email : GileadClinicalTrials@gilead.com . For general information, Learn About Clinical Studies go to https://clinicaltrials.gov/ct2/about-studies/learn.",28
30,What is the goal of this clinical study?,
31,"The goals of this clinical study are to learn about the safety, tolerability, dosing and effectiveness of magrolimab in combination with nab-paclitaxel or paclitaxel (cohort 1) or with sacituzumab govitecan-hziy (cohort 2) in patients with non-surgically removable locally advanced or metastatic triple-negative breast cancer.",30
32,What is the Condition or disease?,
33,The Condition or disease is Triple-Negative Breast Cancer,32
34,What is the Intervention/treatment ?,
35,"The drugs being used in this clinical trial are Magrolimab, Nab-Paclitaxel, Paclitaxel, and Sacituzumab Govitecan-hziy.",34
36,What is the phase of this clinical trial?,
37,The phase of this clinical trial is Phase 2.,36
38,give a Detailed Description,
